id,Band Name,Manager,Contact Number,Contact Email,Country
1,Sambizanga,Hayden Laite,7749188929,hlaite0@ibm.com,Poland
2,"Three Stooges Meet Hercules, The",Trix Batting,1343345705,tbatting1@home.pl,China
3,Drones,Nedda Doreward,5907828215,ndoreward2@nhs.uk,Russia
4,"Right Kind of Wrong, The",Davon Milsted,7349836171,dmilsted3@bloomberg.com,Thailand
5,Omar,Fair Fish,1575150880,ffish4@marriott.com,South Africa
6,Rusty Knife (Sabita naifu),Friedrich Dallemore,2826276369,fdallemore5@people.com.cn,China
7,Wild Strawberries (Smultronstället),Brendan O'Donnell,9721588621,bodonnell6@phpbb.com,Dominican Republic
8,"Barber, The",Doralia Dallin,3473114802,ddallin7@blogger.com,China
9,Silent Movie,Jeanette Romayne,6686679160,jromayne8@mac.com,Serbia
10,Inside,Joshia Onion,9839891513,jonion9@drupal.org,Nepal
11,High School,Nicky Scase,4118983988,nscasea@virginia.edu,Poland
12,Scooby-Doo! The Mystery Begins,Tanner Bladesmith,5578018238,tbladesmithb@usatoday.com,Indonesia
13,Sex Galaxy,Cari Noye,2139444306,cnoyec@tumblr.com,Sweden
14,"Devil's Advocate, The",Shelagh Braham,5648526212,sbrahamd@biblegateway.com,Colombia
15,Bluebeard,Bree Kingscote,7188094926,bkingscotee@google.co.jp,United States
16,Leave Her to Heaven,Standford Challener,6601937824,schallenerf@usda.gov,Nigeria
17,"Living Room of the Nation, The (Kansakunnan olohuone)",Dulcy Khomich,4695800442,dkhomichg@microsoft.com,Croatia
18,Utopia,Naomi Pancast,5519598990,npancasth@sphinn.com,Philippines
19,Time in the Minors,Carlene Allcorn,9702409540,callcorni@histats.com,Philippines
20,Fist of the North Star,Norrie Dagnan,2807306755,ndagnanj@e-recht24.de,China
21,"Forsaken, The",Julianne Templar,5578961911,jtemplark@histats.com,Marshall Islands
22,Skinwalkers,Christie Server,8173094764,cserverl@pen.io,Chile
23,"Born Losers, The",Dannie Bringloe,7332035900,dbringloem@hubpages.com,Netherlands
24,Rudolph the Red-Nosed Reindeer,Hana Weyland,9426889876,hweylandn@scribd.com,Japan
25,P.U.N.K.S,Chelsea Bussey,8384835388,cbusseyo@google.cn,Russia
26,Sherlock Holmes: Dressed to Kill,Gracia Rangle,1233972391,granglep@altervista.org,Russia
27,Sube y Baja,Annamaria Bannister,3095966760,abannisterq@goodreads.com,Indonesia
28,Hondo,Klarika Griffen,8565784888,kgriffenr@google.ca,France
29,Village of the Giants,Carlee Shearmer,4569585133,cshearmers@github.com,China
30,Dream House,Cointon Giffard,7714603686,cgiffardt@youku.com,Philippines
31,Dead on Time,Anthia Frowing,9379187967,afrowingu@tinypic.com,South Africa
32,I'm Here,Amelina Neaverson,8303010079,aneaversonv@storify.com,Mauritius
33,Dollman,Bryn Hessay,8888817032,bhessayw@theguardian.com,Dominican Republic
34,"Human Tornado, The",Denyse Willder,6151894804,dwillderx@ox.ac.uk,Ecuador
35,"Hunting and Gathering (Ensemble, c'est tout)",Liane Landall,5578988282,llandally@cpanel.net,China
36,Modern Boy (Modeon boi),Jannelle Adkin,1234119574,jadkinz@globo.com,Ukraine
37,Home Alone 4,Burch Elden,1876372613,belden10@webeden.co.uk,China
38,I'm Gonna Explode (a.k.a. I'm Going to Explode) (Voy a explotar),Jillane Plaskett,3962406060,jplaskett11@discuz.net,Malta
39,Family Viewing,Alic Garfitt,9421448440,agarfitt12@umn.edu,Czech Republic
40,Fire and Ice,Derron Gadesby,1035420786,dgadesby13@unblog.fr,China
41,Speak,Clerc Gregson,7069371646,cgregson14@cam.ac.uk,Cameroon
42,Cochochi,Herschel Lackinton,3005955844,hlackinton15@ted.com,Indonesia
43,"Perfume of the Lady in Black, The (Il profumo della signora in nero)",Randolf Kleanthous,6153025864,rkleanthous16@blinklist.com,Finland
44,"House That Dripped Blood, The",Avril Haukey,6742936148,ahaukey17@so-net.ne.jp,Brazil
45,In the Midst of Life (Au coeur de la vie),Aviva Crick,2385661043,acrick18@google.it,Indonesia
